Date,Price
2009-07-09,65.13888549804688
2009-07-10,64.98373413085938
2009-07-13,66.56474304199219
2009-07-14,66.94154357910156
2009-07-15,68.89929962158203
2009-07-16,68.78845977783203
2009-07-17,69.54204559326172
2009-07-20,70.28085327148438
2009-07-21,70.60588836669922
2009-07-22,70.59111785888672
2009-07-23,72.14996337890625
2009-07-24,72.44548797607422
2009-07-27,72.65973663330078
2009-07-28,72.31989288330078
2009-07-29,72.14257049560547
2009-07-30,72.8961181640625
2009-07-31,72.99958038330078
2009-08-03,74.20381927490234
2009-08-04,74.39590454101562
2009-08-05,74.18162536621094
2009-08-06,73.7974853515625
2009-08-07,74.7652587890625
2009-08-10,74.61012268066406
2009-08-11,73.67926025390625
2009-08-12,74.46977996826172
2009-08-13,75.03857421875
2009-08-14,74.4623794555664
2009-08-17,72.63019561767578
2009-08-18,73.20643615722656
2009-08-19,73.84917449951172
2009-08-20,74.61012268066406
2009-08-21,76.07295989990234
2009-08-24,76.0655288696289
2009-08-25,76.21331024169922
2009-08-26,76.22069549560547
2009-08-27,76.39060974121094
2009-08-28,76.3758316040039
2009-08-31,75.69615173339844
2009-09-01,74.02649688720703
2009-09-02,73.74575805664062
2009-09-03,74.35894775390625
2009-09-04,75.40064239501953
2009-09-08,76.05076599121094
2009-09-09,76.63438415527344
2009-09-10,77.41751098632812
2009-09-11,77.40274047851562
2009-09-14,77.77953338623047
2009-09-15,78.10459899902344
2009-09-16,79.28667449951172
2009-09-17,79.16845703125
2009-09-18,79.21892547607422
2009-09-21,79.01850891113281
2009-09-22,79.478759765625
2009-09-23,78.8180923461914
2009-09-24,77.94955444335938
2009-09-25,77.5339126586914
2009-09-28,78.9219970703125
2009-09-29,78.68448638916016
2009-09-30,78.3801040649414
2009-10-01,76.4352798461914
2009-10-02,76.07897186279297
2009-10-05,77.21467590332031
2009-10-06,78.32074737548828
2009-10-07,78.5360107421875
2009-10-08,79.13728332519531
2009-10-09,79.61975860595703
2009-10-12,79.93157196044922
2009-10-13,79.76822662353516
2009-10-14,81.14151763916016
2009-10-15,81.43843078613281
2009-10-16,80.82970428466797
2009-10-19,81.497802734375
2009-10-20,81.06729125976562
2009-10-21,80.33981323242188
2009-10-22,81.15633392333984
2009-10-23,80.22846221923828
2009-10-26,79.35995483398438
2009-10-27,78.99624633789062
2009-10-28,77.50418853759766
2009-10-29,79.16694641113281
2009-10-30,76.87321472167969
2009-11-02,77.43740844726562
2009-11-03,77.68231964111328
2009-11-04,77.88276672363281
2009-11-05,79.31542205810547
2009-11-06,79.5233154296875
2009-11-09,81.33450317382812
2009-11-10,81.34933471679688
2009-11-11,81.7650375366211
2009-11-12,80.93367004394531
2009-11-13,81.37164306640625
2009-11-16,82.55191802978516
2009-11-17,82.64836883544922
2009-11-18,82.59640502929688
2009-11-19,81.5200424194336
2009-11-20,81.23058319091797
2009-11-23,82.26239013671875
2009-11-24,82.38855743408203
2009-11-25,82.67808532714844
2009-11-27,81.33450317382812
2009-11-30,81.6091537475586
2009-12-01,82.61870574951172
2009-12-02,82.58158111572266
2009-12-03,81.935791015625
2009-12-04,82.4034423828125
2009-12-07,82.2772216796875
2009-12-08,81.36420440673828
2009-12-09,81.66853332519531
2009-12-10,82.1287612915039
2009-12-11,82.47766876220703
2009-12-14,83.04178619384766
2009-12-15,82.6557846069336
2009-12-16,82.78199768066406
2009-12-17,81.78726959228516
2009-12-18,82.25001525878906
2009-12-21,83.08588409423828
2009-12-22,83.38439178466797
2009-12-23,83.54859161376953
2009-12-24,83.94409942626953
2009-12-28,84.12322998046875
2009-12-29,84.00379943847656
2009-12-30,83.97396850585938
2009-12-31,83.16797637939453
2010-01-04,84.57847595214844
2010-01-05,84.8023452758789
2010-01-06,84.86207580566406
2010-01-07,85.22029876708984
2010-01-08,85.50390625
2010-01-11,85.62330627441406
2010-01-12,84.82476043701172
2010-01-13,85.54122161865234
2010-01-14,85.77256774902344
2010-01-15,84.8098373413086
2010-01-19,85.86957550048828
2010-01-20,84.99642181396484
2010-01-21,83.36200714111328
2010-01-22,81.50370788574219
2010-01-25,81.92164611816406
2010-01-26,81.57836151123047
2010-01-27,81.96643829345703
2010-01-28,81.02606201171875
2010-01-29,80.14543914794922
2010-02-01,81.39176940917969
2010-02-02,82.37691497802734
2010-02-03,81.96643829345703
2010-02-04,79.43643951416016
2010-02-05,79.60065460205078
2010-02-08,79.02599334716797
2010-02-09,80.01856994628906
2010-02-10,79.86185455322266
2010-02-11,80.69770812988281
2010-02-12,80.63053131103516
2010-02-16,81.8992691040039
2010-02-17,82.287353515625
2010-02-18,82.77240753173828
2010-02-19,82.94403839111328
2010-02-22,82.95899963378906
2010-02-23,81.95148468017578
2010-02-24,82.70526885986328
2010-02-25,82.59330749511719
2010-02-26,82.64557647705078
2010-03-01,83.50381469726562
2010-03-02,83.73516082763672
2010-03-03,83.80978393554688
2010-03-04,84.06355285644531
2010-03-05,85.26506042480469
2010-03-08,85.28002166748047
2010-03-09,85.42181396484375
2010-03-10,85.80242156982422
2010-03-11,86.16063690185547
2010-03-12,86.16809844970703
2010-03-15,86.19049072265625
2010-03-16,86.87713623046875
2010-03-17,87.39202880859375
2010-03-18,87.34725189208984
2010-03-19,86.90515899658203
2010-03-22,87.3697738647461
2010-03-23,87.98424530029297
2010-03-24,87.55711364746094
2010-03-25,87.41473388671875
2010-03-26,87.36225891113281
2010-03-29,87.91679382324219
2010-03-30,87.97673034667969
2010-03-31,87.67698669433594
2010-04-01,88.27650451660156
2010-04-05,88.9958724975586
2010-04-06,89.20570373535156
2010-04-07,88.69615936279297
2010-04-08,89.00337219238281
2010-04-09,89.58789825439453
2010-04-12,89.73028564453125
2010-04-13,89.79774475097656
2010-04-14,90.81688690185547
2010-04-15,90.89179992675781
2010-04-16,89.44552612304688
2010-04-19,89.78274536132812
2010-04-20,90.58456420898438
2010-04-21,90.41970825195312
2010-04-22,90.6894760131836
2010-04-23,91.28147888183594
2010-04-26,90.93680572509766
2010-04-27,88.78607177734375
2010-04-28,89.46051025390625
2010-04-29,90.56957244873047
2010-04-30,89.03336334228516
2010-05-03,90.18740844726562
2010-05-04,88.066650390625
2010-05-05,87.54210662841797
2010-05-06,84.63451385498047
2010-05-07,83.37557983398438
2010-05-10,87.0474853515625
2010-05-11,86.80020141601562
2010-05-12,88.01419067382812
2010-05-13,86.92012786865234
2010-05-14,85.346435546875
2010-05-17,85.39139556884766
2010-05-18,84.22987365722656
2010-05-19,83.7502670288086
2010-05-20,80.58788299560547
2010-05-21,81.76441955566406
2010-05-24,80.71528625488281
2010-05-25,80.79772186279297
2010-05-26,80.31058502197266
2010-05-27,83.00089263916016
2010-05-28,81.95924377441406
2010-06-01,80.58040618896484
2010-06-02,82.67864227294922
2010-06-03,82.9634017944336
2010-06-04,80.04833984375
2010-06-07,79.05168151855469
2010-06-08,79.89847564697266
2010-06-09,79.4713363647461
2010-06-10,81.79436492919922
2010-06-11,82.19155883789062
2010-06-14,82.06416320800781
2010-06-15,83.93011474609375
2010-06-16,83.90010833740234
2010-06-17,84.03500366210938
2010-06-18,84.1261215209961
2010-06-21,83.88518524169922
2010-06-22,82.49979400634766
2010-06-23,82.24376678466797
2010-06-24,80.8809814453125
2010-06-25,81.21976470947266
2010-06-28,80.96377563476562
2010-06-29,78.4640121459961
2010-06-30,77.71859741210938
2010-07-01,77.37223052978516
2010-07-02,76.95059967041016
2010-07-06,77.455078125
2010-07-07,79.89459991455078
2010-07-08,80.68521118164062
2010-07-09,81.2875747680664
2010-07-12,81.34024047851562
2010-07-13,82.56754302978516
2010-07-14,82.56004333496094
2010-07-15,82.58260345458984
2010-07-16,80.30874633789062
2010-07-19,80.7830581665039
2010-07-20,81.67906188964844
2010-07-21,80.61741638183594
2010-07-22,82.4169692993164
2010-07-23,83.13224029541016
2010-07-26,83.9981460571289
2010-07-27,83.99058532714844
2010-07-28,83.44849395751953
2010-07-29,83.04190826416016
2010-07-30,83.02681732177734
2010-08-02,84.90166473388672
2010-08-03,84.49504852294922
2010-08-04,85.05978393554688
2010-08-05,84.96939849853516
2010-08-06,84.6230697631836
2010-08-09,85.0748291015625
2010-08-10,84.61553192138672
2010-08-11,82.29647827148438
2010-08-12,81.7920150756836
2010-08-13,81.55106353759766
2010-08-16,81.51342010498047
2010-08-17,82.51481628417969
2010-08-18,82.66544342041016
2010-08-19,81.22727966308594
2010-08-20,80.96377563476562
2010-08-23,80.65509033203125
2010-08-24,79.45787811279297
2010-08-25,79.76657104492188
2010-08-26,79.23200988769531
2010-08-27,80.45929718017578
2010-08-30,79.292236328125
2010-08-31,79.292236328125
2010-09-01,81.66400909423828
2010-09-02,82.4244613647461
2010-09-03,83.49365997314453
2010-09-07,82.552490234375
2010-09-08,83.13224029541016
2010-09-09,83.51625061035156
2010-09-10,83.93789672851562
2010-09-13,84.87152862548828
2010-09-14,84.8188247680664
2010-09-15,85.14260864257812
2010-09-16,85.12000274658203
2010-09-17,85.15181732177734
2010-09-20,86.45380401611328
2010-09-21,86.27969360351562
2010-09-22,85.85578155517578
2010-09-23,85.15937805175781
2010-09-24,86.91553497314453
2010-09-27,86.49922180175781
2010-09-28,86.80201721191406
2010-09-29,86.65058135986328
2010-09-30,86.39323425292969
2010-10-01,86.7565689086914
2010-10-04,86.10558319091797
2010-10-05,87.83905029296875
2010-10-06,87.83146667480469
2010-10-07,87.72549438476562
2010-10-08,88.21753692626953
2010-10-11,88.3008041381836
2010-10-12,88.57331085205078
2010-10-13,89.26216125488281
2010-10-14,88.9139633178711
2010-10-15,89.09564208984375
2010-10-18,89.53466033935547
2010-10-19,88.36136627197266
2010-10-20,89.22431945800781
2010-10-21,89.42111206054688
2010-10-22,89.58767700195312
2010-10-25,89.85259246826172
2010-10-26,89.86775970458984
2010-10-27,89.6103515625
2010-10-28,89.62548828125
2010-10-29,89.6936264038086
2010-11-01,89.72391510009766
